Particpant,Task,R1,R2,R3,R4,R5,R6,R7,R8
P1-A-CCM,B,NA,212.5,289.208633093525,297.321428571429,161.157024793388,NA,NA,306.885245901639
P2-A-CCM,A,NA,163.212435233161,163.815789473684,246.666666666667,163.636363636364,181.132075471698,247.169811320755,150.47619047619
P3-A-CCM,A,NA,53.3446232006774,165.448504983389,120.216606498195,85.3448275862068,138.129496402878,135.051546391753,166.901408450704
P4-A-CCM,B,233.076923076923,138.964577656676,174.782608695652,195.882352941176,190.243902439024,182.142857142857,163.922942206655,212.727272727273
P5-A-CCM,A,166.423357664234,81.5006468305304,111.409395973154,68.5185185185185,211.764705882353,220.689655172413,121.860465116279,197.5
P6-A-CCM,A,117.931034482759,154.411764705882,194.53125,221.262458471761,205.181347150259,259.459459459459,231.176470588235,280.473372781065
P7-A-CCM,A,NA,91.4368650217707,115.54524361949,142.612419700214,145.054945054945,157.377049180328,195.522388059701,126.063829787234
P8-A-CCM,B,75.75,NA,61.7511520737327,NA,NA,88.3116883116883,75.6164383561644,73.2967893500391
P9-A-CCM,A,NA,94.311377245509,187.924528301887,160.481927710843,148.314606741573,149.416342412451,171.99124726477,160.135135135135
P10-A-CCM,A,177.662337662338,129.896907216495,196.062992125984,282.203389830509,161.632653061224,256,280.714285714286,NA
