Particpant,Task,R1,R2,R3,R4,R5,R6,R7,R8
P1-A-CCM,B,NA,212.5,289.208633093525,297.321428571429,161.157024793388,NA,NA,306.885245901639
P2-A-CCM,A,NA,163.212435233161,163.815789473684,246.666666666667,163.636363636364,181.132075471698,247.169811320755,150.47619047619
P3-A-CCM,A,NA,53.3446232006774,165.448504983389,120.216606498195,85.3448275862068,138.129496402878,135.051546391753,166.901408450704
P4-A-CCM,B,233.076923076923,138.964577656676,174.782608695652,195.882352941176,190.243902439024,182.142857142857,163.922942206655,212.727272727273
P5-A-CCM,A,166.423357664234,81.5006468305304,111.409395973154,68.5185185185185,211.764705882353,220.689655172413,121.860465116279,197.5
P6-A-CCM,A,117.931034482759,154.411764705882,194.53125,221.262458471761,205.181347150259,259.459459459459,231.176470588235,280.473372781065
P7-A-CCM,A,NA,91.4368650217707,115.54524361949,142.612419700214,145.054945054945,157.377049180328,195.522388059701,126.063829787234
P8-A-CCM,B,75.75,NA,61.7511520737327,NA,NA,88.3116883116883,75.6164383561644,73.2967893500391
P9-A-CCM,A,NA,94.311377245509,187.924528301887,160.481927710843,148.314606741573,149.416342412451,171.99124726477,160.135135135135
P10-A-CCM,A,177.662337662338,129.896907216495,196.062992125984,282.203389830509,161.632653061224,256,280.714285714286,NA

P1-A-GCM,A,105.72,199.367088607595,167.114093959732,264.285714285714,178.378378378378,210.989010989011,252.733118971061,322.668481960517
P2-A-GCM,B,210.416666666667,174.061433447099,154.615384615385,150.338600451467,159.83606557377,175.862068965517,146.548672566372,188.709677419355
P3-A-GCM,B,114.555765595463,NA,NA,86.9451697127937,32.9391891891892,90.3654485049834,79.8457087753135,74.2857142857143
P4-A-GCM,A,NA,145.161290322581,149.54954954955,204.294478527607,172.92576419214,166.95652173913,233.928571428571,146.749226006192
P5-A-GCM,B,186.461538461538,109.913793103448,104.145077720207,102.304147465438,85.3391684901531,NA,NA,173.333333333333
P6-A-GCM,B,NA,168.874172185431,100,168.181818181818,NA,NA,NA,216.666666666667
P7-A-GCM,B,70.1388888888889,88.0829015544041,NA,83.3541927409261,148.28897338403,141.176470588235,61.2426035502959,124.468085106383
P8-A-GCM,A,25.239852398524,NA,69.4560669456067,112.690355329949,107.608695652174,93.2038834951455,155.643564356436,116.461916461916
P9-A-GCM,B,109.981851179673,NA,116.860465116279,86.3813229571984,174.34554973822,NA,122.848664688427,116.708229426434
P10-A-GCM,B,NA,NA,142.553191489362,139.915966386555,122.257053291536,233.810888252149,205.970149253731,192.197125256674

P1-B-CCM,B,97.8998384491115,79.9373040752351,95.4869358669834,94.2008486562942,83.1556503198295,94.0092165898618,86.25,97.2972972972974
P2-B-CCM,B,91.2650602409638,79.81220657277,108.355795148248,103.90015600624,126.623376623377,124.770642201835,129.984301412873,140.119760479042
P3-B-CCM,A,71.3242961418144,75.4491017964072,84.9829351535837,87.17277486911,80.9815950920246,95.0495049504951,104.105960264901,NA
P4-B-CCM,A,76.7676767676768,134.042553191489,137.190082644628,94.468085106383,65.5629139072848,138.628158844765,194.554455445544,114.492753623188
P6-B-CCM,A,62.9834254143646,NA,84.1216216216216,86.6059817945384,78.727634194831,84.0262582056892,82.8240252897787,NA
P7-B-CCM,B,NA,167.763157894737,191.428571428571,191.379310344828,203.125,159.06432748538,138,148.335974643423
P8-B-CCM,B,103.945111492281,81.7307692307692,71.7857142857143,NA,100,NA,NA,105.050505050505
P9-B-CCM,A,NA,132.911392405063,203.265306122449,170.332480818414,218.78453038674,250.980392156863,297.727272727272,248.167539267015
P10-B-CCM,B,NA,70.7350901525659,45.578231292517,83.3541927409261,NA,115.417256011315,NA,117.587939698492

P1-B-GCM,A,49.7816593886463,66.6666666666667,97.265625,81.219512195122,53.8043478260869,52.9655172413793,70.4301075268817,34.4978165938865
P2-B-GCM,A,71.6981132075472,94.4527736131934,89.247311827957,90.2439024390244,94.9640287769784,89.9297423887587,107.08446866485,113.942307692308
P3-B-GCM,B,49.5908346972177,49.1803278688525,58.8579795021962,69.4473409801877,46.8187274909964,70.6493506493507,71.875,64.2415923129718
P4-B-GCM,B,76.1306532663317,95.1492537313433,62.7145085803432,63.2478632478632,101.036269430052,121.791044776119,139.629005059022,132.390381895332
P6-B-GCM,B,59.2375366568915,NA,52.2077922077922,56.8259385665529,NA,75.9776536312849,67.481662591687,87.2320596458527
P7-B-GCM,A,NA,NA,171.724137931034,147.019867549669,151.145038167939,163.404255319149,147.744360902256,153.896103896104
P8-B-GCM,A,62.6373626373626,NA,94.1398865784498,62.1848739495799,57.3082489146165,83.4782608695652,114.744525547445,61.39896373057
P9-B-GCM,B,92.3780487804878,172.297297297297,98.5294117647059,NA,186.602870813397,126.905132192846,117.948717948718,118.331226295828
P10-B-GCM,A,NA,NA,86.6086956521739,88.2119205298013,52.5198938992043,90.3529411764706,84.789644012945,90.2857142857143
